Accession..,Family,Genus,Species,variety.hybrid,scientific_name,Native.country,Native.Region,Origin,Date.brought.in,number,form,plant.source,latest.update,Synonym
B2009.206,Zygophyllaceae,Zygophyllum,maculatum,NA,Zygophyllum maculatum ,South Africa,South African,South Africa,14-Jan-09,25,seed(s),Silverhill Seeds,2/24/2023,NA
B2016.087,Zygophyllaceae,Zygophyllum,fabago,NA,Zygophyllum fabago ,Multiple Countries,Multiple Regions,Mediterranean region and central Asia,9-Jun-16,0,plant(s),John Bleck,2/24/2023,NA
B2006.034,Orchidaceae,Zygopetalum,NA,Artur Elle 'Tanza Night' FCC/AOS,Zygopetalum  Artur Elle 'Tanza Night' FCC/AOS,NA,NA,hybrid origin,26-Feb-06,0,NA,Norman's Orchids,2/24/2023,NA
B2009.011,Orchidaceae,Zygopetalum,NA,Everspring 'Noland Van Daalen',Zygopetalum  Everspring 'Noland Van Daalen',NA,NA,horticultural (hybrid) origin,6-Jan-09,1,plant(s),Unknown,2/24/2023,NA
B90.253,Orchidaceae,Zygopetalum,reginae,NA,Zygopetalum reginae ,Brazil,South American,Brazil,NA,0,NA,Jane Sakauye,2/24/2023,NA
B96.023,Orchidaceae,Zygopetalum,triste,NA,Zygopetalum triste ,Brazil,South American,Brazil,16-Feb-96,0,NA,Howard and Joan Gunn,2/24/2023,NA
B96.277,Orchidaceae,Zygopetalum,triste,NA,Zygopetalum triste ,Brazil,South American,Brazil,26-Aug-96,0,NA,Earl Ross (LA State & Co. Arboretum),2/24/2023,NA
B99.106,Orchidaceae,Zygopetalum,mackaii,NA,Zygopetalum mackaii ,Brazil,South American,Brazil,21-May-99,0,NA,Howard and Joan Gunn,2/24/2023,NA
B95.053,Cactaceae,Zygocactus,NA,Symphony,Zygocactus  Symphony,NA,NA,NA,6-Mar-95,0,NA,Larry Mitich,2/24/2023,NA
B95.054,Cactaceae,Zygocactus,NA,'Thanksgiving',Zygocactus  'Thanksgiving',NA,NA,NA,6-Mar-95,0,NA,NA,2/24/2023,NA
B95.055,Cactaceae,Zygocactus,sp,Bahia,Zygocactus sp Bahia,NA,NA,NA,6-Mar-95,0,NA,NA,2/24/2023,NA
BAB.366,Cactaceae,Zygocactus,NA,"""""white christmas""""","Zygocactus  """"white christmas""""",NA,NA,NA,NA,0,NA,Larry Mitich,2/24/2023,NA
B2008.019,Orchidaceae,Zootrophion,endresianum,NA,Zootrophion endresianum ,Multiple Countries,American,Nicaragua to Ecuador,7-Jan-08,1,plant(s),Tropical Orchid Farm,2/24/2023,NA
B2008.166,Orchidaceae,Zootrophion,hirtzii,NA,Zootrophion hirtzii ,Ecuador,South American,"Ecuador, at elevations of 1300 to 2100 m",13-Oct-08,0,plant(s),J & L Orchids,2/24/2023,NA
B2008.241,Orchidaceae,Zootrophion,sp,NA,Zootrophion sp ,NA,NA,genus within tropical South America,13-Oct-08,0,plant(s),Unknown,2/24/2023,NA
BAB.532,Orchidaceae,Zootrophion,atropurpureum,NA,Zootrophion atropurpureum ,Multiple Countries,American,"Jamaica, Panama, Colombia, Ecuador, Peru",NA,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
B2000.052,Zingiberaceae,Zingiber,zerumbet,NA,Zingiber zerumbet ,India,Indian,India,26-Jul-00,0,NA,Anthony Lord,2/24/2023,NA
B97.063,Zingiberaceae,Zingiber,zerumbet,NA,Zingiber zerumbet ,India,Indian,India,15-Apr-97,0,NA,Anthony Lord,2/24/2023,NA
B97.324,Zingiberaceae,Zingiber,purpureum,NA,Zingiber purpureum ,India,Asian,"India, Malaysia",3-Nov-97,0,NA,Alan Carle,2/24/2023,NA
BAA.026,Zingiberaceae,Zingiber,officinale,NA,Zingiber officinale ,Multiple Countries,Asian,Tropical  Asia,NA,0,NA,NA,2/24/2023,NA
B2010.015,Liliaceae,Zigadenus,fremontii,NA,Zigadenus fremontii ,Multiple Countries,North American,"northern Baja California, California, Oregon",7-Apr-10,2,plant(s),Mostly Natives Nursery,2/24/2023,NA
B2011.112,Liliaceae,Zigadenus,fremontii,NA,Zigadenus fremontii ,Multiple Countries,North American,"northern Baja California, California, Oregon",2-Dec-11,0,seed(s),Theodore Payne Foundation,2/24/2023,NA
B2019.327,Liliaceae,Zigadenus,fremontii,NA,Zigadenus fremontii ,Multiple Countries,North American,"northern Baja California, California, Oregon",20-Aug-19,0,bulb(s),Telos Rare Bulbs,2/24/2023,NA
B2005.219,Amaryllidaceae,Zephyranthes,candida,NA,Zephyranthes candida ,Multiple Countries,South American,"Argentina, Uruguay",28-Mar-05,0,NA,Mountain States Wholesale Nursery,2/24/2023,NA
B2009.162,Liliaceae,Zephyranthes,chlorosolen,NA,Zephyranthes chlorosolen ,Multiple Countries,North American,Texas N to Kansas and E to Alabama,25-Jun-09,1,plant(s),Anthony Lord,2/24/2023,#NAME?
B2014.024,Amaryllidaceae,Zephyranthes,minima,NA,Zephyranthes minima ,Multiple Countries,South American,"Argentina, Uruguay, Paraguay,  southern Brazil",11-Mar-14,4,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2014.025,Amaryllidaceae,Zephyranthes,flavissima,NA,Zephyranthes flavissima ,Multiple Countries,South American,"Argentina, Brazil",11-Mar-14,0,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2014.026,Amaryllidaceae,Zephyranthes,jonesii,NA,Zephyranthes jonesii ,United States,North American,southeastern Texas,11-Mar-14,6,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2014.027,Amaryllidaceae,Zephyranthes,morrisclintii,NA,Zephyranthes morrisclintii ,Mexico,Middle America,Mexico (Nuevo Leon),11-Mar-14,0,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2014.028,Amaryllidaceae,Zephyranthes,traubii,NA,Zephyranthes traubii ,Multiple Countries,North American,"southeastern Texas, northestern Mexico",11-Mar-14,0,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2014.029,Amaryllidaceae,Zephyranthes,reginae,NA,Zephyranthes reginae ,Mexico,Middle America,Mexico (San Luis Potosi),11-Mar-14,0,plant(s),JC Raulston Arboretum,2/24/2023,NA
B2015.211,Amaryllidaceae,Zephyranthes,flavissima,NA,Zephyranthes flavissima ,Multiple Countries,South American,"Argentina, Brazil",20-Oct-15,4,bulb(s),Nhu Nguyen,2/24/2023,NA
BAB.500,Amaryllidaceae,Zephyranthes,sp,candida?,Zephyranthes sp candida?,NA,NA,NA,23-Jul-02,0,NA,Collection Plant (UCD Botanical Conservatory),2/24/2023,NA
B2012.034,Tecophilaeaceae,Zephyra,elegans,NA,Zephyra elegans ,Multiple Countries,South American,"Peru, Chile",31-Oct-12,40,seed(s),Colin Davis,2/24/2023,NA
B2005.037,Ulmaceae,Zelkova,serrata,'Green Vase',Zelkova serrata 'Green Vase',Multiple Countries,Asian,"Japan, Taiwan, eastern China",16-Feb-05,0,NA,Valley Crest,2/24/2023,NA
B96.350,Poaceae,Zea,mexicana,NA,Zea mexicana ,Mexico,NA,NA,15-Oct-96,0,NA,Anthony Lord,2/24/2023,NA
B97.064,Poaceae,Zea,diploperennis,NA,Zea diploperennis ,Mexico,Middle America,within Mexico?,15-Apr-97,0,NA,Anthony Lord,2/24/2023,NA
B97.157,Poaceae,Zea,mexicana,NA,Zea mexicana ,Mexico,NA,NA,15-Jan-97,0,NA,Annalisa Bellardo,2/24/2023,NA
B2011.099,Araceae,Zantedeschia,aethiopica,'Hercules',Zantedeschia aethiopica 'Hercules',South Africa,South African,South Africa,11-Mar-11,0,NA,Byron Aarstad,2/24/2023,NA
B2019.175,Araceae,Zamioculcas,zamiifolia,'Raven',Zamioculcas zamiifolia 'Raven',Multiple Countries,African,"eastern Africa, Kenya to northeastern South Africa",17-Apr-19,NA,plant(s),Eric Cendejas,2/24/2023,NA
B2019.471,Araceae,Zamioculcas,zamiifolia,NA,Zamioculcas zamiifolia ,NA,NA,NA,14-Apr-22,1,plant(s),Grant Ireland,2/24/2023,Gold Thai Variegated Hybrid
B81.404,Araceae,Zamioculcas,zamiifolia,NA,Zamioculcas zamiifolia ,Multiple Countries,African,"eastern Africa, Kenya to northeastern South Africa",NA,0,NA,NA,2/24/2023,NA
B93.379,Araceae,Zamioculcas,zamiifolia,NA,Zamioculcas zamiifolia ,Multiple Countries,African,"eastern Africa, Kenya to northeastern South Africa",3-Aug-93,0,NA,Larry Mitich,2/24/2023,NA
B94.436,Araceae,Zamioculcas,zamiifolia,NA,Zamioculcas zamiifolia ,Multiple Countries,African,"eastern Africa, Kenya to northeastern South Africa",25-Oct-94,0,plant(s),John Bleck,2/24/2023,NA
B2003.125,Zamiaceae,Zamia,pumila,NA,Zamia pumila ,Multiple Countries,Caribbean,central Cuba and the Dominican Republic,19-Nov-03,0,NA,Dave Hunt,2/24/2023,female
B2003.126,Zamiaceae,Zamia,portoricensis,NA,Zamia portoricensis ,Puerto Rico,Caribbean,western Puerto Rico,19-Nov-03,0,NA,Dave Hunt,2/24/2023,#6 female
B2003.130,Zamiaceae,Zamia,furfuracea,NA,Zamia furfuracea ,Mexico,Middle America,Mexico: Veracruz state,19-Nov-03,0,NA,Dave Hunt,2/24/2023,#7
B2003.131,Zamiaceae,Zamia,amblyphyllidia,NA,Zamia amblyphyllidia ,Multiple Countries,Caribbean,"Jamaica, W Cuba, NC coast Puerto Rico",19-Nov-03,0,NA,Dave Hunt,2/24/2023,#1
B2006.004,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",25-Jan-06,0,NA,Bijan Dehgan,2/24/2023,#NAME?
B2008.204,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",26-Nov-08,50,seed(s),Bijan Dehgan,2/24/2023,#NAME?
B2013.197,Zamiaceae,Zamia,variegata,NA,Zamia variegata ,Multiple Countries,Central America,"southern Mexico, Guatemala, Belize, Honduras",6-Sep-13,8,plant(s),Jurassic Garden,2/24/2023,male
B2013.231,Zamiaceae,Zamia,inermis,NA,Zamia inermis ,Mexico,Middle America,"Mexico: central Veracruz State, Actopan district",6-Sep-13,1,plant(s),Jurassic Garden,2/24/2023,NA
B66.381,Zamiaceae,Zamia,integrifolia,#NAME?,Zamia integrifolia = Zamia floridana,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",16-Aug-66,0,NA,Unknown,2/24/2023,male plant
B75.058,Zamiaceae,Zamia,furfuracea,NA,Zamia furfuracea ,Mexico,Middle America,Mexico: Veracruz state,30-Mar-75,0,NA,Abbey Gardens,2/24/2023,female
B79.065,Zamiaceae,Zamia,integrifolia,#NAME?,Zamia integrifolia = Zamia floridana,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",2-Apr-79,0,NA,University of Florida,2/24/2023,NA
B79.193,Zamiaceae,Zamia,furfuracea,NA,Zamia furfuracea ,Mexico,Middle America,Mexico: Veracruz state,24-Sep-79,0,NA,Dennis Stevenson/Fairchild Garden,2/24/2023,female
B83.392,Zamiaceae,Zamia,pumila,NA,Zamia pumila ,Multiple Countries,Caribbean,central Cuba and the Dominican Republic,8-Aug-83,0,NA,Niell McCarten,2/24/2023,female
B86.057,Zamiaceae,Zamia,soconuscensis,NA,Zamia soconuscensis ,Mexico,Middle America,"Mexico: Chiapas state, Sierra Madre de Chiapas",8-Mar-86,0,NA,Tim Metcalf,2/24/2023,male
B86.061,Zamiaceae,Zamia,loddigesii,NA,Zamia loddigesii ,Mexico,Middle America,"Mexico: Veracruz, Oaxaca and Tabasco states",11-Mar-86,0,NA,Unknown,2/24/2023,male
B86.066,Zamiaceae,Zamia,soconuscensis,NA,Zamia soconuscensis ,Mexico,Middle America,"Mexico: Chiapas state, Sierra Madre de Chiapas",11-Mar-86,0,NA,Tim Metcalf,2/24/2023,female
B86.076,Zamiaceae,Zamia,sp,NA,Zamia sp ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B88.403,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",NA,0,NA,Bijan Dehgan,2/24/2023,#NAME?
B89.211,Zamiaceae,Zamia,integrifolia,#NAME?,Zamia integrifolia = Z. floridana,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",1-May-89,NA,seed(s),Dennis Stevenson/N.Y. Botanical Garden,2/24/2023,NA
B92.598,Zamiaceae,Zamia,pumila,NA,Zamia pumila ,Multiple Countries,Caribbean,"Cuba, Dominican Republic, Puerto Rico",12-May-82,0,NA,Hal and Reynatta Hoberecht,2/24/2023,NA
B94.128,Zamiaceae,Zamia,furfuracea,NA,Zamia furfuracea ,Mexico,Middle America,Mexico: Veracruz state,12-Apr-94,0,NA,Willie Tang,2/24/2023,male
B94.129,Zamiaceae,Zamia,pumila,NA,Zamia pumila ,Multiple Countries,Caribbean,"Cuba, Dominican Republic, Puerto Rico",12-Apr-94,0,NA,Willie Tang,2/24/2023,NA
B94.236,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",NA,0,NA,NA,2/24/2023,#NAME?
B94.369,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",19-Aug-94,0,NA,Bijan Dehgan,2/24/2023,#NAME?
B95.295,Zamiaceae,Zamia,encephalartoides,NA,Zamia encephalartoides ,Colombia,South American,Colombia: province of Santander,12-Sep-95,0,NA,Hal and Reynatta Hoberecht,2/24/2023,NA
B97.067,Zamiaceae,Zamia,amazonum,NA,Zamia amazonum ,Multiple Countries,South American,"Brazil, Peru, Colombia, Venezuela",30-Apr-97,0,NA,Eric Brenner,2/24/2023,NA
B97.068,Zamiaceae,Zamia,encephalartoides,NA,Zamia encephalartoides ,Colombia,South American,Colombia: province of Santander,1-May-97,0,NA,Eric Brenner,2/24/2023,NA
BAA.078,Zamiaceae,Zamia,fischeri,NA,Zamia fischeri ,Mexico,Middle America,Mexico: San Luis Potosi and Queretaro,22-Feb-08,0,NA,NA,2/24/2023,NA
BAA.380,Zamiaceae,Zamia,fischeri,NA,Zamia fischeri ,Mexico,Central America,Mexico: San Luis Potosi and Queretaro,NA,0,NA,Unknown,2/24/2023,male
BAA.381,Zamiaceae,Zamia,furfuracea,NA,Zamia furfuracea ,Mexico,Middle America,Mexico: Veracruz state,NA,0,NA,Unknown,2/24/2023,female
BAA.385,Zamiaceae,Zamia,soconuscensis,NA,Zamia soconuscensis ,Mexico,Middle America,"Mexico: Chiapas state, Sierra Madre de Chiapas",NA,0,NA,NA,2/24/2023,male
BAA.411,Zamiaceae,Zamia,fischeri,NA,Zamia fischeri ,Mexico,Middle America,Mexico: San Luis Potosi and Queretaro,NA,0,NA,Unknown,2/24/2023,male
BAB.035,Zamiaceae,Zamia,integrifolia,NA,Zamia integrifolia ,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",NA,0,NA,Unknown,2/24/2023,NA
BAB.036,Zamiaceae,Zamia,integrifolia,#NAME?,Zamia integrifolia = Zamia floridana,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",NA,0,NA,Unknown,2/24/2023,NA
BAB.039,Zamiaceae,Zamia,amblyphyllidia,NA,Zamia amblyphyllidia ,Multiple Countries,Caribbean,"Jamaica, W Cuba, NC coast Puerto Rico",NA,0,NA,Unknown,2/24/2023,NA
BAB.132,Zamiaceae,Zamia,standleyi,NA,Zamia standleyi ,Honduras,Central America,Honduras,NA,0,NA,Unknown,2/24/2023,microsporangiate
BAB.565,Zamiaceae,Zamia,integrifolia,#NAME?,Zamia integrifolia = Zamia floridana,Multiple Countries,Multiple Regions,"southeastern Georgia, Florida, Bahamas",NA,0,NA,NA,2/24/2023,female plant
Bab.600,Zamiaceae,Zamia,vazquezii,NA,Zamia vazquezii ,Mexico,Middle America,"Mexico (Hidalgo, San Luis Potosi, Veracruz states)",NA,0,NA,Abbey Gardens ?,2/24/2023,male
B2001.201,Agavaceae,Yucca,rostrata,NA,Yucca rostrata ,Multiple Countries,North American,"northern Mexico, western Texas (USA)",10-Apr-02,0,NA,CSSA seed depot,2/24/2023,multistemmed
B2002.161,Liliaceae,Yucca,rostrata,NA,Yucca rostrata ,Multiple Countries,North American,"northern Mexico, western Texas (USA)",20-Nov-02,0,NA,Southwestern Native Seeds,2/24/2023,NA
B2004.021,Agavaceae,Yucca,endlichiana,NA,Yucca endlichiana ,Mexico,Middle America,Mexico (Coahuila),17-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B2004.027,Agavaceae,Yucca,NA,NA,Yucca  ,NA,NA,NA,18-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,rigida?
B2004.046,Agavaceae,Yucca,sp,NA,Yucca sp ,NA,NA,NA,19-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B2005.113,Agavaceae,Yucca,reverchonii,NA,Yucca reverchonii ,United States,North American,Texas: San Angelo Region,12-Apr-05,0,NA,Huntington Botanical Gardens,2/24/2023,NA
B2005.218,Agavaceae,Yucca,rigida,NA,Yucca rigida ,Mexico,Middle America,northern Mexico,28-Mar-05,0,NA,Mountain States Wholesale Nursery,2/24/2023,NA
B2005.239,Agavaceae,Yucca,filamentosa,'Bright Edge',Yucca filamentosa 'Bright Edge',United States,North American,Florida to Mississippi and north to New Jersey.,3-Jun-05,0,NA,Dry Garden,2/24/2023,NA
B2007.060,Agavaceae,Yucca,torreyi,NA,Yucca torreyi ,Multiple Countries,North American,"W Texas, SE New Mexico; northeastern Mexico",1-Mar-07,0,NA,Ken Mohler,2/24/2023,NA
B2007.068,Agavaceae,Yucca,arizonica,NA,Yucca arizonica ,Multiple Countries,North American,"Arizona, New Mexico (US); Mexico (Sonora State)",1-Mar-07,0,NA,Ken Mohler,2/24/2023,NA
B2007.069,Agavaceae,Yucca,schottii,NA,Yucca schottii ,Multiple Countries,North American,"SW New Mexico, SE Arizona (US); northern Mexico",1-Mar-07,0,NA,Ken Mohler,2/24/2023,NA
B2007.070,Agavaceae,Yucca,harrimaniae,NA,Yucca harrimaniae ,United States,North American,southwestern US,1-Mar-07,0,NA,Ken Mohler,2/24/2023,NA
B2007.071,Agavaceae,Yucca,baileyi,NA,Yucca baileyi ,United States,North American,"Arizona, New Mexico, Colorado, Utah",1-Mar-07,0,NA,Ken Mohler,2/24/2023,#NAME?
B2016.075,Agavaceae,Yucca,sp,NA,Yucca sp ,NA,NA,NA,26-May-16,0,plant(s),Bryce Simon,2/24/2023,NA
B2019.367,Agavaceae,Yucca,harrimaniae,NA,Yucca harrimaniae ,United States,North American,southwestern US,18-Sep-19,4,plant(s),California Flora Nursery,2/24/2023,NA
B81.275,Agavaceae,Yucca,rigida,NA,Yucca rigida ,Mexico,Middle America,northern Mexico,17-Aug-81,0,NA,Desert Botanic Garden,2/24/2023,NA
B82.741,Agavaceae,Yucca,brevifolia,NA,Yucca brevifolia ,United States,North American,California (Mojave Desert) to southwestern Utah,22-Jul-82,0,seed(s),Larry Mitich,2/24/2023,NA
B96.337,Agavaceae,Yucca,harrimaniae,NA,Yucca harrimaniae ,United States,North American,southwestern US,1-Oct-96,0,NA,Anthony Lord,2/24/2023,NA
B99.002,Agavaceae,Yucca,brevifolia,var. jaegeriana,Yucca brevifolia var. jaegeriana,United States,North American,California (Mojave Desert) to southwestern Utah,21-Jan-99,0,NA,Larry Mitich,2/24/2023,NA
BAB.395,Agavaceae,Yucca,brevifolia,NA,Yucca brevifolia ,United States,North American,California (Mojave Desert) to southwestern Utah,NA,0,NA,Hal and Reynatta Hoberecht,2/24/2023,NA
B96.245,Onagraceae,Xylonagra,arborea,NA,Xylonagra arborea ,Mexico,NA,NA,22-Jul-96,0,NA,Niell McCarten,2/24/2023,NA
B91.381,Orchidaceae,Xylobium,foveatum,NA,Xylobium foveatum ,Multiple Countries,American,Mexico and West Indies to SE Brazil,27-Jul-91,0,NA,Cornell Plantation,2/24/2023,NA
B80.043,Haemodoraceae,Xiphidium,caeruleum,NA,Xiphidium caeruleum ,Multiple Countries,American,tropical America,NA,0,NA,Unspecified,2/24/2023,NA
B2013.161,Cucurbitaceae,Xerosicyos,perrieri,NA,Xerosicyos perrieri ,Madagascar,Madagascaran,western and southwestern Madagascar,19-Aug-13,0,NA,San Diego Botanic Garden,2/24/2023,NA
B59.029,Cucurbitaceae,Xerosicyos,danguyi,NA,Xerosicyos danguyi ,Madagascar,Madagascaran,western and southwestern Madagascar,NA,0,NA,NA,2/24/2023,NA
B67.590,Cucurbitaceae,Xerosicyos,perrieri,NA,Xerosicyos perrieri ,Madagascar,Madagascaran,western and southwestern Madagascar,3-Dec-67,NA,cutting(s),UCBerkeley,2/24/2023,NA
B2017.246,Velloziaceae,Xerophyta,retinervis,NA,Xerophyta retinervis ,South Africa,South African,eastern South Africa,10-Nov-17,100,seed(s),Silverhill Seeds,2/24/2023,NA
B97.163,Velloziaceae,Xerophyta,retinervis,NA,Xerophyta retinervis ,South Africa,South African,eastern South Africa,28-Jul-97,0,NA,New York Botanical Garden,2/24/2023,NA
B2013.017,Araceae,Xanthosoma,sagittifolium,NA,Xanthosoma sagittifolium ,Multiple Countries,American,tropical America,31-May-13,0,NA,NA,2/24/2023,#NAME?
B81.566,Araceae,Xanthosoma,violaceum,NA,Xanthosoma violaceum ,Multiple Countries,American,tropical America,NA,0,NA,NA,2/24/2023,NA
B82.918,Liliaceae,Xanthorrhoea,quadrangulata,NA,Xanthorrhoea quadrangulata ,Australia,Australian,Southern Australia,29-Sep-82,0,NA,Los Angeles State and County Arboretum,2/24/2023,NA
B90.266,Liliaceae,Xanthorrhoea,resinosa,NA,Xanthorrhoea resinosa ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
BAB.088,Xanthorrhoeaceae,Xanthorrhoea,sp,NA,Xanthorrhoea sp ,Australia,Australian,Australia,29-Sep-82,0,NA,Los Angeles State and County Arboretum,2/24/2023,resinosa?
B2000.207,Orchidaceae,x Zygocolax,NA,Judith Hill,x Zygocolax  Judith Hill,Unknown,Unknown,hybrid (horticultural) origin,20-Nov-00,0,NA,Howard and Joan Gunn,2/24/2023, (Zygo. mackayi x Colax jugosus)
B2008.247,Orchidaceae,x Yamadara,NA,Sammie Evans 'Kiilani',x Yamadara  Sammie Evans 'Kiilani',NA,NA,horticultural (hybrid) origin,7-Jan-08,0,NA,NA,2/24/2023,NA
B77.040,Orchidaceae,x Vascostylis,NA,NA,x Vascostylis  ,NA,NA,hybrid (horticultural) origin,NA,0,NA,Jim Kern,2/24/2023,Rhv. Wong Yoke Sim x Vasco. Susan
B95.307,Orchidaceae,x Stamariaara,NA,'Noel',x Stamariaara  'Noel',Unknown,Unknown,horticultural origin,26-Oct-95,0,NA,Singapore Botanical Gardens,2/24/2023,#NAME?
B60.025,Crassulaceae,x Sedeveria,hummellii,NA,x Sedeveria hummellii ,NA,NA,hybrid (horticultural) origin,NA,0,NA,NA,2/24/2023,#NAME?
BAB.368,Crassulaceae,x Sedeveria,hummellii,NA,x Sedeveria hummellii ,NA,NA,NA,NA,0,NA,NA,2/24/2023,NA
B95.308,Orchidaceae,x Renantanda,storiata,NA,x Renantanda storiata ,NA,NA,horticultural (hybrid) origin,NA,0,NA,Singapore Botanical Gardens,2/24/2023,NA
B97.235,Crassulaceae,x Pachyveria,NA,NA,x Pachyveria  ,NA,NA,hybrid (horticultural) origin,17-Sep-97,0,NA,John D. Kaufman,2/24/2023,#NAME?
B2013.371,Cactaceae,x Pacherocactus,orcuttii,NA,x Pacherocactus orcuttii ,Mexico,Middle America,Mexico: Baja California,8-Feb-13,0,seed(s),Barry Rice,2/24/2023,NA
B91.244,Cactaceae,x Pacherocactus,orcuttii,#NAME?,x Pacherocactus orcuttii = Pachycereus pringlei x Bergerocactus emoryi,Mexico,North American,Mexico: Baja California,25-Apr-91,0,NA,Great Petaluma Desert Nursery,2/24/2023,NA
B2022.153,Bromeliaceae,x Orthotanthus,NA,'Little Bit',x Orthotanthus  'Little Bit',NA,NA,horticultural hybrid,5-Jul-22,0,plant(s),"Tropiflora, LLC",2/24/2023,#NAME?
B2021.009,Cactaceae,x Myrtillocalycium,NA,'Polyp',x Myrtillocalycium  'Polyp',NA,NA,horticultural (hybrid) origin,30-Apr-21,1,plant(s),California Succulents,2/24/2023,NA
B2008.020,Orchidaceae,x Miltassia,NA,Charles M. Fitch 'Izumi',x Miltassia  Charles M. Fitch 'Izumi',NA,NA,horticultural (hybrid) origin,7-Jan-08,1,plant(s),NA,2/24/2023,#NAME?
B2008.016,Orchidaceae,x Laeliocattleya,NA,Orglade's Grand 'Yow Chang Beauty',x Laeliocattleya  Orglade's Grand 'Yow Chang Beauty',NA,NA,horticultural (hybrid) origin,7-Jan-08,1,plant(s),Water Orchid's,2/24/2023,NA
B90.104,Orchidaceae,x Laeliocattleya,hybrid,'Snippet',x Laeliocattleya hybrid 'Snippet',NA,NA,hybrid (horticultural) origin,15-Mar-82,0,NA,Andy Walker,2/24/2023,NA
B2000.059,Crassulaceae,x Graptoveria,NA,'Royal Flush',x Graptoveria  'Royal Flush',Unknown,Unknown,hybrid (horticultural) origin,4-Sep-00,0,NA,RSVP,2/24/2023,#NAME?
B2005.046,Crassulaceae,x Graptoveria,NA,'Opalina',x Graptoveria  'Opalina',NA,NA,NA,16-Mar-05,0,NA,Ernesto Sandoval,2/24/2023,#NAME?
B2009.239,Crassulaceae,X Graptoveria,NA,NA,X Graptoveria  ,NA,NA,NA,8-Dec-09,1,plant(s),UC Santa Cruz Arboretum,2/24/2023,G. amethystinum x E. laui
B66.041,Crassulaceae,x Graptoveria,sp,NA,x Graptoveria sp ,NA,NA,hybrid (horticultural) origin,NA,0,NA,NA,2/24/2023,#NAME?
B2005.176,Crassulaceae,x Graptosedum,NA,'Alpenglow',x Graptosedum  'Alpenglow',NA,NA,hybrid (horticultural) origin,12-Apr-05,0,NA,Huntington Botanical Gardens,2/24/2023,Graptopetalum paraguayense x Sedum stahlii?
B97.418,Gesneriaceae,x Gloxinantha,x,"""""Evlo""""","x Gloxinantha x """"Evlo""""",Unknown,Unknown,hybrid origin,15-Nov-97,0,NA,Jeanie Hatfield,2/24/2023,NA
B2008.118,Asphodelaceae,x Gasterhaworthia,NA,NA,x Gasterhaworthia  ,NA,NA,horticultural (hybrid) origin,17-Mar-08,0,plant(s),Anne Shein,2/24/2023,#NAME?
B2013.261,Asphodelaceae,x Gasterhaworthia,NA,NA,x Gasterhaworthia  ,NA,NA,NA,10-Jun-13,0,plant(s),Shein's Cactus,2/24/2023,NA
B2004.032,Asphodelaceae,x Gasteraloe,NA,'Green Ice',x Gasteraloe  'Green Ice',NA,NA,horticultural (hybrid) origin,18-Mar-04,0,NA,Sam/Dorothy Williams,2/24/2023,NA
B2008.099,Liliaceae,x Gasteraloe,NA,'Ghostly Ice',x Gasteraloe  'Ghostly Ice',NA,NA,horticultural (hybrid) origin,17-Mar-08,0,plant(s),Anne Shein,2/24/2023,NA
B2013.118,Asphodelaceae,x Gasteraloe,NA,'Green Ice',x Gasteraloe  'Green Ice',NA,NA,horticultural (hybrid) origin,10-Jun-13,0,plant(s),Shein's Cactus,2/24/2023,NA
B2013.276,Asphodelaceae,x Gasteraloe,NA,'Green Ice',x Gasteraloe  'Green Ice',NA,NA,horticultural (hybrid) origin,10-Jun-13,0,plant(s),Sam/Dorothy Williams,2/24/2023,NA
B60.043,Araliaceae,x Fatshedera,lizei,NA,x Fatshedera lizei ,NA,NA,hybrid (horticultural) origin,NA,0,NA,NA,2/24/2023,= Fatsia japonica 'Moseri' x Hedera hibernica
